fish_names,fish_prices in EUR,pictures,special
"Bitterling, Rhodeus sericeus amarus, 4-5 cm (Kaltwasser), DNZ",3.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/11560/middle/11560-Bitterling-Rhodeus-sericeus-amarus-Kaltwasser.jpg,
"Bitterlingsbarbe, Puntius titteya, DNZ",3.49,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/10053/middle/Bitterlingsbarbe-Puntius-titteya-jpg.jpg,
"Black Lancer, Bagrichthys macracanthus",19.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/101407/middle/Black-Lancer--Bagrichthys-macracanthus.jpg,Neuheit
"Black Molly Lyra, Poecilia sphenops",3.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/85632/middle/Black-Molly-Lyra-Poecilia-sphenops.jpg,Neuheit
"Black Molly, Poecilia sphenops",2.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/10792/middle/10792-Black-Molly--Poecilia-sphenops.jpg,
"Black-orange-dorsale-Buntbarsch, Otopharynx spec. black orange dorsale",29.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/100206/middle/Otopharynx-spec--Black-Orange-Dorsale-5-FSWFT2641.jpg,Neuheit
"Blauaugen-Buntbarsch, Cryptoheros spilurus, DNZ",18.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/81805/middle/Blauaugen-Buntbarsch-Cryptoheros-spilurus-neu.jpg,
"Blaubandsalmler, Hyphessobrycon sp. Blue Ribbon, 5er Gruppe",39.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/101403/middle/Blaubandsalmler-Hyphessobrycon-spec--Blue-Ribbon-3-FSFT01213.jpg,Neuheit
"Blauer Fadenfisch, Trichogaster trichopterus, DNZ",5.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80063/middle/80063-Blauer-Fadenfisch--Trichogaster-trichopterus.jpg,
"Blauer Heringscichlide, Cyprichromis leptosoma ""Utinta"", DNZ",28.79,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80242/middle/80242-Blauer-Heringscichlide-Cyprichromis-leptosoma-Utin.jpg,
"Blauer Kongosalmler, Phenacogrammus interruptus, DNZ, 4-5 cm",9.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/83349/middle/83349-blauer-Kongosalmler-Phenacogrammus-interruptus.jpg,
"Blauer Königssalmler, Inpaichthys kerri SUPER BLUE",4.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/84108/middle/Inpaichthys-kerri-SUPER-BLUE.jpg,
"Blauer Labidochromis ""Red Top"", Labidochromis hongi, DNZ",12.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/10791/middle/10791-Blauer-Labidochromis--red-top---Labidochromis-hong.jpg,
"Blauer Leopard-Maulbrüter, Nimbochromis fuscotaeniatus, DNZ",21.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/85002/middle/Nimbochromis-fuscotaeniatus-blauer-leopardmaulbruet.jpg,
"Blauer Leopard-Skalar, Pterophyllum scalare blau Leopard, DNZ",16.49,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/85637/middle/BlauerLeopard-Skalar-Pterophyllum-scalare-blau-Leop.jpg,
"Blauer Neon, Paracheirodon simulans",3.59,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/8907/middle/8907-Blauer-Neon--Paracheirodon-simulans.jpg,
"Blauer Perusalmler, Boehlkea fredcochui",3.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/15285/middle/Blauer-Perusalmler-Boehlkea-fredcochui-neu.jpg,
"Blauer Skalar, Pterophyllum scalare",15.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80106/middle/Pterophyllum-scalare-Blue.jpg,
"Blauer Wagtail-Platy, Xiphophorus maculatus",3.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/84444/middle/Blauer-Wagtail-Platy-Xiphophorus-maculatus.jpg,
"Bleeding Heart Platy, Xiphophorus maculatus",7.49,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/84246/middle/Xiphophorus-maculatus-Bleeding-heart.jpg,
"Blehers Rotkopfsalmler, Hemigrammus bleheri",3.59,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/15294/middle/Blehers-Rotkopfsalmler-Hemigrammus-bleheri.jpg,
"Blutsalmler, Hyphessobrycon eques, DNZ Super-Rot",3.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/10079/middle/Blutsalmler-Hyphessobrycon-eques-neu-1.jpg,
"Boesemans Regenbogenfisch rot, Melanotaenia boesemani RED, DNZ",14.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/9197/middle/Melanotaenia-boesemani-2.jpg,
"Borneo-Prachtflossensauger, Pseudogastromyzon myersi, 3er Gruppe",17.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/101720/middle/Borneo-Prachtflossensauger--Pseudogastromyzon-myersi-1.jpg,
"Brabantbuntbarsch, Tropheus duboisi Maswa ""Weisspunkt"", DNZ",22.89,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/85019/middle/Tropheus-duboisi-Maswa--WP-Brabantbuntbarsch.jpg,
"Bratpfannenwels, Dysichthys coracoideus",8.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80137/middle/80137-Bratpfannenwels--Dysichthys-coracoideus.jpg,
"Brauner Antennenwels S, Ancistrus sp.",4.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/85137/middle/8824-Brauner-Antennenwels-M-Ancistrus-sp.jpg,
"Brauner Kugelfisch, Tetraodon miurus",39.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/100728/middle/Brauner-Kugelfisch--Tetraodon-miurus-4.jpg,
"Brauner Ohrgitterharnischwels, Otothyropsis piribebuy/Otocinclus negros",7.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/84367/middle/Otothyropsis-piribebuy-Brauner-Ohrgitterharnischwel.jpg,
"Brauner Schleier-Antennenwels, Ancistrus sp.",18.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/85136/middle/Brauner-Schleier-Antennenwels-Ancistrus-sp.jpg,
"Breitstreifen-Schneckenbuntbarsch, Neolamprologus similis, DNZ",24.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/86291/middle/Schneckenbuntbarsch-Neolamprologus-similis.jpg,Neuheit
"Brillantsalmler, Moenkhausia pittieri",4.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80039/middle/80039-Brillantsalmler--Moenkhausia-pittieri.jpg,
"Brokatbarbe, Barbodes semifasciolatus sachsi, DNZ",2.85,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/83257/middle/83257-Brokatbarbe-Barbodes-semifasciolatus-sachsi.jpg,
"Buckelkopfcichlide, Steatocranus casuarius, DNZ",19.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/8809/middle/8809-Buckelkopfcichlide--Steatocranus-casuarius.jpg,
"Bundle: 6x Ohrgitterharnischwels, Otocinclus affinis (6 Stück)",22.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/86595/middle/8860-Ohrgitterharnischwels--Otocinclus-affinis--Min.jpg,Neuheit
"Bunter Prachtkärpfling, Aphyosemion australe hjersseni",9.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80164/middle/80164-Bunter-Prachtkaerpfling--Aphyosemion-australe-hjer.jpg,
"Celebes-Halbschnäbler, Nomorhamphus liemi, DNZ",9.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/84505/middle/Nomorhamphus-liemi-celebes-halbschnaebler.jpg,
"Chamäleon-Maulbrüter, Pseudotropheus crabro, DNZ",17.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80304/middle/80304-Chamaeleon-Maulbrueter-Pseudotropheus-crabro-Nachz.jpg,
"Chipoka Maulbrüter, Melanochromis chipokae, DNZ",13.49,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/84989/middle/Chipoka-Maulbrueter-Melanochromis-chipokae-1.jpg,
